Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"INV",2023/4/14,"CITRA Development 1 Pty Ltd","Private Investor",361.81,"Completed","Consumer Discretionary","N.A.",,,,
"M&A",2012/6/27,"Chemical & Monitoring Solutions Unit","AECI Ltd",168.15,"Completed","Industrials","Materials",,32183,,24402
"INV",2011/3/7,"Afrifresh Export Ltd","Standard Chartered Private Equity Ltd",137.67,"Completed","Financials","Financials",,,,
"INV",2021/12/7,"Revego Africa Energy Ltd","UK Climate Investments LLP",315.75,"Completed","Financials","Financials",28.8,,,2790.66
"M&A",2016/9/14,"Amalgamated Metals Recycling Pty Ltd,Amalgamated Metals Recycling SA Pty Ltd,Amalgamated Metals West Rand Pty Ltd,Spring Lights 1135 Pty Ltd","Insimbi Industrial Holdings Ltd",284.00,"Completed","Materials, Materials, Materials, Financials","Industrials",,5270.12,,1437.37
"INV",2008/10/30,"Buildmax Ltd","Brait SE/Private Equity",198.95,"Completed","Materials","Financials",910.462,,534.318,
"M&A",2003/5/29,"Messina Investments Ltd","Crown Diamonds Pty Ltd",159.97,"Completed","Materials","Materials",,,,
"M&A",2003/11/10,"Investec Bank Botswana Ltd","Standard Bank Group Ltd",137.00,"Completed","Financials","Financials",,307016,,3.62085e+06
"AST",2000/8/8,"Old Mutual Property Portfolio","Metboard Properties Ltd",137.76,"Completed","N.A.","Real Estate",,,,
"M&A",2017/3/28,"MyGate Communications Pty Ltd","Wirecard AG",255.02,"Completed","Financials","Financials",,31475.2,,96426.7
"AST",2013/1/23,"Indite Property Fund","Arrowhead Properties Ltd/Old",178.00,"Completed","N.A.","Real Estate",,2222.09,,14434.1
"M&A",2005/12/6,"Senwes Ltd","Royal Bafokeng Nation",123.00,"Completed","Consumer Staples","Government",,,,
"M&A",2007/10/3,"Petro Energy Africa Ltd","CVI Energy Corp Ltd",134.71,"Completed","Energy","Energy",,,,0.0772233
"INV",2010/2/9,"Pinnacle Point Group Ltd","Trilinear Empowerment Trust",150.00,"Completed","Consumer Discretionary","Financials",,,,
"M&A",2011/7/5,"TSS Managed Services Pty Ltd","iOCO Ltd",130.50,"Completed","Technology","Technology",,5583.22,,2798.11
"AST",2009/3/31,"Astraflex Pty Ltd,Cape Wrappers Pty Ltd,Diverse Labelling Consultants Pty Ltd,Astra Repro Pty Ltd,Tamperpak Pty Ltd,Astrapak Flexibles","Afripack Pty Ltd",183.65,"Completed","Materials, Materials, Materials, Materials, Materials","Materials",,,,
"M&A",2001/1/10,"AMB-DLJ Securities","Credit Suisse Group AG",152.75,"Completed","Financials","Financials",,691927,,9.84755e+06
"INV",2018/4/9,"SoftBev Pty Ltd","BidCo Pty Ltd",233.00,"Completed","Consumer Staples","Consumer Staples",,,,
